seed,loss,accuracy,num_correct,num_incorrect,cpu,duration
6532,0.0027954230347762986,0.9993215837744781,6192941,728093,,257.4489641189575
6549,0.004262152314354531,0.9993338536396432,6227215,693819,,254.0902543067932
6589,0.007344516515223411,0.9976669547116738,6035724,885310,,258.8911142349243
6910,0.0028238872937566737,0.999444663090414,6232526,688508,,253.010187625885
7098,0.016790284574756606,0.9939680378633292,6116890,804144,,253.72703194618225
7238,0.00299123090423915,0.9992812466947211,6132956,788078,,251.81625962257385
7310,0.002041580203266091,0.9995563767572253,6274951,646083,,250.28027248382568
7467,0.00449289619091939,0.9986739329271065,6001572,919462,,251.12764525413513
7790,0.004656371170137864,0.9986958848714536,6076604,844430,,253.07881999015808
7884,0.006013607509191738,0.998100022475065,5892595,1028439,,249.16701936721802
8048,0.0022257035681540333,0.9994865899015302,6302344,618690,,244.91477751731873
8299,0.002676716113645,0.9993613099701265,6218127,702907,,243.39012718200684
8721,0.0069598368331441176,0.9984151784897212,6220643,700391,,244.5359604358673
8745,0.004245248495366797,0.9990730683814203,6106417,814617,,242.73440313339233
8840,0.004057148929802071,0.9988487790619913,6040312,880722,,244.13847589492798
8893,0.003471624625942202,0.9992725057035327,6159359,761675,,246.41976237297058
9132,0.0022384333616233838,0.9995216739101687,6286121,634913,,241.98920154571533
9134,0.0036108450760356553,0.99921440945562,6265213,655821,,241.17085909843445
9504,0.005390898853142859,0.9989863369381018,6183993,737041,,240.185462474823
9816,0.0062277389520256875,0.9986955266124034,6311053,609981,,240.0563759803772
10248,0.0027557682660559364,0.9993600664898903,6204645,716389,,240.13464546203613
11124,0.003763831125757775,0.9991136285274993,6203694,717340,,239.5294075012207
11130,0.005726714406475546,0.9984158729468792,6046421,874613,,239.2061173915863
11498,0.014879681901643784,0.9961602799504136,6131522,789512,,239.30852127075195
11598,0.003980118009480496,0.9989063354838666,6125256,795778,,239.10148859024048
11611,0.007527895386112526,0.996993014459006,6175497,745537,,238.85523867607117
12141,0.0030267004221950352,0.9992639125412133,6145415,775619,,249.36962056159973
12287,0.003678050093909375,0.998943669750027,6162491,758543,,249.0423505306244
12457,0.003395615867421474,0.998895367186501,6066482,854552,,248.05400466918945
12493,0.005910530614227157,0.9981738776964075,6026839,894195,,246.27138543128967
12552,0.0033935129791784332,0.9993794972354264,6242022,679012,,247.66251254081726
12561,0.004793348759714194,0.9988278144634811,6102940,818094,,250.86878967285156
13036,0.003670602238040824,0.999069795497307,6299947,621087,,248.54549932479858
13293,0.0033970734678687195,0.9990863124598133,6127132,793902,,246.786612033844
13468,0.004538055944873046,0.9985555389482942,6019860,901174,,251.81855702400208
13654,0.0033032910710008283,0.9994550076058343,6205536,715498,,251.5740611553192
13716,0.002972332964139209,0.9992114427381064,6174660,746374,,252.3936049938202
14095,0.0025567893261269356,0.9995465397538061,6273869,647165,,251.3545081615448
14929,0.0027063418121559698,0.9992551795857244,6170825,750209,,250.63317155838013
15043,0.005384011757189483,0.9981786807966212,6271320,649714,,250.37204909324646
15399,0.005249118812272226,0.9983986324714917,6066832,854202,,251.4650616645813
15622,0.003715965453850575,0.9990677104903453,6093479,827555,,250.50215864181519
15662,0.005298129782271042,0.9985702282465748,6147072,773962,,250.27623772621155
16069,0.00417568508027166,0.9989265986385637,6104662,816372,,251.38773131370544
16149,0.003204184361153113,0.9990153788450133,6116628,804406,,250.17848587036133
16197,0.004428777682872959,0.9986657953111434,5997457,923577,,249.3087284564972
16284,0.0038199422001152336,0.9991957165413228,6239058,681976,,249.70776987075806
17080,0.002660848360392974,0.9992582078688962,6223235,697799,,249.63191604614258
17096,0.004428172719663293,0.999153019428142,6170927,750107,,249.87359523773193
17194,0.0034875905221189046,0.9992580801845499,6264677,656357,,249.06683611869812
17197,0.005291560792905767,0.9987584422640513,6112975,808059,,238.82997369766235
18146,0.004656190678907037,0.9986751596043547,6077268,843766,,238.3860728740692
18289,0.004945087954159999,0.9987091867770179,6026519,894515,,239.93491554260254
18668,0.002810240056587125,0.9994087766396968,6271694,649340,,236.20082807540894
19004,0.0029146077286367604,0.9993582634607474,6203924,717110,,236.92205095291138
19093,0.01021638036012833,0.998130853924069,6195068,725966,,239.51287078857422
19451,0.0025411143292647363,0.9994093452273867,6271330,649704,,245.86879563331604
19488,0.002810050434554549,0.9993221017997808,6187402,733632,,250.98758506774902
19538,0.008058762594244722,0.9979547235891166,6085656,835378,,254.70892715454102
19917,0.0032889705184499167,0.9993316728711389,6160990,760044,,247.9598090648651
20013,0.004348869955166537,0.9990950394778382,6144036,776998,,247.71569228172302
20294,0.003769551499741895,0.9990365297194123,6177106,743928,,247.81763887405396
20338,0.003575788403592027,0.9988778659616949,6163468,757566,,247.41288328170776
20415,0.0038011499387348513,0.9988827865897169,6129724,791310,,247.44876670837402
20539,0.0032143691616253445,0.9991604579977769,6146666,774368,,246.66108918190002
20751,0.003119893776734271,0.999215668922329,6180348,740686,,246.88560128211975
20754,0.0029708692634388763,0.9994441133194488,6183346,737688,,246.88097715377808
20976,0.004946218604500956,0.9987974661676897,6143616,777418,,245.75196599960327
21317,0.002591127647587068,0.9993541281939271,6208869,712165,,247.99047136306763
21598,0.004028299361829686,0.9989259902402232,6116537,804497,,246.35499095916748
22261,0.0031070198523735766,0.9994076649779381,6205610,715424,,245.02209091186523
22286,0.0026699668303548094,0.9995586864553436,6265380,655654,,253.015154838562
22401,0.003633644718636848,0.9989842356153309,6036828,884206,,260.3355977535248
22545,0.0035501261080519786,0.9991993550656446,6131681,789353,,260.86110496520996
23241,0.0034057970102492692,0.9993829564810691,6209424,711610,,259.8889720439911
23367,0.0037602797226669368,0.9992043116040156,6266119,654915,,259.93792247772217
23447,0.004472384493351063,0.9986962352672855,6010610,910424,,261.43119263648987
