seed,accuracy-bound,duration-proof-search,duration,tricks,err-upper-bound,err-upper-bound-is-max,total-sequences,dropped-sequences,dropped-sequences-frac,most-gap-below-value,most-gap-below-value-frac,most-gap-below-value-num-std,max-gap,perf-time-enabled-ns,perf-instruction-count,perf-branch-misses,perf-page-faults,proof-flop-estimate,proof-int-op-estimate,proof-branch-estimate,normalized-accuracy-bound
50,0.675297737121582,33.854676961898804,1.5955779552459717,EUPUMaxDiffAttnMeanQueryDiffAttnErrExactEqkeMaxDiffExact,0.0,False,16777216,1458347,0.0869242548942565,6,0.9913148283958436,1.5,11,,,,,2272487,0,0,0.675399305370298
50,0.6397691369056702,33.878995418548584,1.5866403579711914,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiff,7.44656229019165,True,16777216,1767211,0.1053339838981628,8,0.9986202716827391,1.5,12,,,,,3249352,0,0,0.6398653614704007
50,0.6534440517425537,33.817594051361084,1.582627773284912,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffExact,1.7115379571914673,True,16777216,1512154,0.090131402015686,7,0.9970280528068542,1.5,11,,,,,3505384,0,0,0.6535423330847248
50,0.6492984294891357,33.693666219711304,1.5848169326782229,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffSubproduct,5.653870582580566,True,16777216,1716273,0.102297842502594,8,0.9993476271629332,1.5,12,,,,,2491142,0,0,0.6493960873084236
50,0.2751196622848511,33.72055506706238,1.5855669975280762,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffSubproductRecursive,98.99838256835938,True,16777216,5013775,0.2988442778587341,64,1.0,1.5,24,,,,,1960838,0,0,0.27516104169536815
50,0.6356394290924072,33.81085538864136,1.5842700004577637,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiff,7.544865131378174,True,16777216,1764835,0.1051923632621765,8,0.9986202716827391,1.5,12,,,,,3257671,0,0,0.6357350325278681
50,0.6486831307411194,33.67462158203125,1.5889482498168943,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiffSubproduct,5.719217300415039,True,16777216,1717182,0.1023520231246948,8,0.9993476271629332,1.5,12,,,,,2516099,0,0,0.6487806960163146
50,0.2682667970657348,33.69990921020508,1.5823309421539309,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiffSubproductRecursive,98.37596130371094,True,16777216,5007139,0.2984487414360046,64,1.0,1.5,24,,,,,1973125,0,0,0.26830714577011927
50,0.258186399936676,33.756423234939575,1.5973131656646729,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanRecursiveMaxDiffSubproductRecursive,102.04337310791016,True,16777216,5101295,0.3040608763694763,69,1.0,1.5,24,,,,,1987555,0,0,0.2582252324975486
50,0.5726979374885559,33.85666465759277,1.582390069961548,EUPUMaxDiffAttnMeanQueryDiffAttnErrSvd,12.080363273620604,False,16777216,2293600,0.1367092132568359,11,0.9996381998062134,1.5,14,,,,,4455721,0,0,0.5727840742003446
