seed,accuracy-bound,normalized-accuracy-bound,correct-count-lower-bound,duration-proof-search,duration
19004,0.93075100748792,0.9313486879717764,1073082851967311389,2.6226043701171875e-06,124.8388922214508
19093,0.9090170352088764,0.9107193026196426,1048025287946273056,2.6226043701171875e-06,125.31767749786377
19451,0.895197203823936,0.8957262688195694,1032092107152534553,2.6226043701171875e-06,124.76639080047607
19488,0.912447956582214,0.9130669230059995,1051980870978209101,1.9073486328125e-06,122.69465398788452
19538,0.8418503423798449,0.8435756878349685,970587363390360046,2.1457672119140625e-06,123.08597803115845
19917,0.9335992278601033,0.9342235948329524,1076366626484260875,1.9073486328125e-06,122.9638159275055
20013,0.8994169031128803,0.9002315771510054,1036957089205732666,2.384185791015625e-06,123.34289979934692
20294,0.9436158650623692,0.9445258876843988,1087915022918598171,2.384185791015625e-06,123.25326919555664
20338,0.9008101312103386,0.9018220964812959,1038563371840114775,1.6689300537109375e-06,123.31811690330505
20415,0.8613642354871257,0.8623276394900218,993085350392343439,1.6689300537109375e-06,122.81319880485535
20539,0.9019812678971257,0.902739155335081,1039913600511145724,1.9073486328125e-06,120.36666226387024
20751,0.936558476588655,0.9372936251077298,1079778407980888550,1.6689300537109375e-06,121.20941758155823
20754,0.9360135418547004,0.9365341487138518,1079150141007505216,2.384185791015625e-06,121.47771263122559
20976,0.9229087148252243,0.9240198799926428,1064041304111069097,2.6226043701171875e-06,121.62150430679321
21317,0.9102050455131272,0.9107933012275501,1049394970573738225,2.1457672119140625e-06,120.89626407623291
21598,0.912979940311482,0.9139615439297232,1052594206459783126,2.384185791015625e-06,121.52470421791077
22261,0.8941705548849277,0.8947005173356025,1030908461513070069,2.6226043701171875e-06,122.53692078590393
22286,0.924478156884203,0.9248863217452565,1065850747611100005,1.6689300537109375e-06,126.07848834991455
22401,0.9121799218951165,0.9131074238956868,1051671848023473877,2.6226043701171875e-06,125.75596570968628
22545,0.9162381542261324,0.9169723234718643,1056350671348592861,2.384185791015625e-06,125.64291787147522
23241,0.8858262033298501,0.886373134127618,1021288079163221544,2.86102294921875e-06,125.69768404960632
23367,0.8996914897237288,0.9004079338683602,1037273666014257020,3.0994415283203125e-06,126.12207794189453
23447,0.9293744623043858,0.9305877297671531,1071495803423151812,2.6226043701171875e-06,126.39877796173096
23633,0.9256924770823759,0.9265146359227968,1067250763481052055,2.6226043701171875e-06,126.45777773857117
23696,0.9108159850328327,0.9117998547415163,1050099335884020818,1.430511474609375e-06,123.0538101196289
24144,0.9130610193447445,0.9139490356458511,1052687684220804246,2.1457672119140625e-06,122.9406669139862
24173,0.9036564614956443,0.9051795887395667,1041844967235257472,1.430511474609375e-06,122.47482442855835
24202,0.944391651660495,0.9450709953127039,1088809443970563231,1.9073486328125e-06,123.29039263725281
24262,0.9243506122179977,0.9252566889252434,1065703698622634164,2.6226043701171875e-06,123.3677864074707
24438,0.9117288706396207,0.9127265452538488,1051151821331332824,2.384185791015625e-06,122.55598521232605
24566,0.9175298936183054,0.9185013783485197,1057839945472176839,2.1457672119140625e-06,122.73906326293945
25516,0.9187793138818147,0.9197614998291457,1059280428962268295,1.9073486328125e-06,124.33173322677612
26278,0.914795431908359,0.9154213653674248,1054687325763255629,1.9073486328125e-06,125.10953640937805
26374,0.8702480359411612,0.8732358467401379,1003327674978436996,2.1457672119140625e-06,124.91030144691467
26829,0.9396010918596867,0.9402351981642366,1083286304557106220,2.384185791015625e-06,124.90382218360901
26932,0.9372321121294185,0.9380444380313047,1080555056882102251,2.1457672119140625e-06,123.70605611801147
27300,0.9257106713853843,0.9264504924538771,1067271740084251790,1.9073486328125e-06,123.88766956329346
27484,0.9066078729063041,0.9081281635286198,1045247712919549153,5.7220458984375e-06,124.61576008796692
27584,0.8847390560709361,0.8860402119824525,1020034683709745098,1.6689300537109375e-06,123.88035464286804
27671,0.9357180933001693,0.9363677645513648,1078809512015481266,2.384185791015625e-06,123.77313542366028
27714,0.9116994630947735,0.9122006383456597,1051117916740480794,2.1457672119140625e-06,123.47476243972778
28090,0.9271440633048295,0.9278620186453818,1068924328452709732,2.6226043701171875e-06,123.18292784690857
28716,0.9122388594491773,0.9133585979671395,1051739798396979489,2.6226043701171875e-06,123.58692812919617
28778,0.916945181334497,0.9178684397346667,1057165818106166356,1.6689300537109375e-06,123.83900117874146
29022,0.943452305941628,0.9439384680229574,1087726452091021037,2.1457672119140625e-06,123.48013758659363
29052,0.9153008031480154,0.9161379412643407,1055269979133265432,1.9073486328125e-06,124.43901753425598
29110,0.8968906100363903,0.8982018943909518,1034044471590907954,1.9073486328125e-06,124.31377673149109
29195,0.8826393835868729,0.8834571396421531,1017613926150237391,2.1457672119140625e-06,124.47265815734863
29565,0.8731393738374498,0.87498321679699,1006661160616152783,1.9073486328125e-06,124.49733281135559
29725,0.9239871290099375,0.9246732902931165,1065284631015497932,2.1457672119140625e-06,124.45562386512756
29726,0.9225550540120575,0.9241028182460407,1063633560954232328,1.9073486328125e-06,124.33725190162659
30371,0.9402708707571429,0.9407851190372489,1084058507051315284,2.6226043701171875e-06,124.39481115341187
30463,0.9062196000057934,0.9071024816216369,1044800064742894339,1.9073486328125e-06,125.51397323608398
30684,0.8958909288949484,0.8965967094514855,1032891917705189590,1.6689300537109375e-06,124.67082786560059
30899,0.9115434185604916,0.9122716168348305,1050938009641230905,2.6226043701171875e-06,125.53282308578491
31308,0.9271393701334303,0.9278351779050388,1068918917594478898,2.6226043701171875e-06,125.64742684364319
32103,0.9154300261608673,0.9161682132834431,1055418963123672457,2.86102294921875e-06,124.22487545013428
32374,0.8727776384715821,0.873149426504195,1006244108133867152,2.86102294921875e-06,125.84676051139832
32382,0.9108621952237431,0.9118921788287617,1050152612606853455,4.0531158447265625e-06,125.67326021194458
