seed,loss,accuracy,model-seed,dataset-seed
24144,0.007620225132675841,0.9986380208333333,2926545152,4105730304
24173,0.0022909609149889243,0.9996979166666666,276578816,4034788864
24202,0.0035301434017552917,0.9991380208333334,3300282368,1944616192
24262,0.0033360936806469304,0.9991848958333334,3196541952,3129005056
24438,0.0021695536999613977,0.9996692708333333,72204800,1119360512
24566,0.002579305603833442,0.9995364583333334,4020452608,2878293248
25516,0.002307756182611532,0.9996822916666667,3395059200,356147712
26278,0.0019890769916867915,0.9996328125,3936246784,1888822016
26374,0.009033292138866576,0.9978697916666667,1147500544,466641664
26829,0.002609870525537796,0.9994739583333333,3185471488,1389899776
26932,0.002177665528676395,0.9996171875,2548089600,1350826752
27300,0.002240128327704345,0.9994635416666666,1311280128,3329396224
27484,0.0060579820378334264,0.9988098958333333,4228680960,2759108096
27584,0.0022338272146444067,0.9996484375,3886186240,276059904
27671,0.0018446623994920325,0.9997369791666667,133165312,3670957824
27714,0.0024484435328728676,0.9995598958333334,2027128576,3879067904
28090,0.11622612836219681,0.9830364583333333,2790567680,274163712
28716,0.0017806893170442587,0.99965625,2684870400,14702336
28778,0.0027071498238656205,0.9995755208333333,2580704256,3947663872
29022,0.0018804811955972884,0.9995546875,3292718336,3509147648
29052,0.0032282338827790227,0.99934375,2691652352,2847339776
29110,0.0019014434797354626,0.9996171875,3881332224,222137344
29195,0.0017634574126423105,0.9996770833333334,1496344320,1242578176
29565,0.0021780679270159455,0.9997421875,421385472,1649264128
29725,0.003105803297890816,0.9994401041666666,2501192448,3359015936
29726,0.006934540435225548,0.998875,695007488,3351269120
30371,0.0025206600980163785,0.9995885416666667,1827975168,358791936
30463,0.007758678517517789,0.9982994791666666,958166528,3529113088
30684,0.015743331159785157,0.9952109375,1678805760,1342738176
30899,0.00237594966586524,0.9995104166666666,89836032,58500608
31308,0.0020498462421480023,0.9995989583333333,1808059392,326289920
32103,0.0020812815506506014,0.999515625,3989714432,2355916800
32374,0.002800083381152945,0.9995234375,396625152,1068697088
32382,0.00251689879031134,0.9994453125,1777363200,1906699776
