seed,loss,accuracy,model-seed,dataset-seed
7238,0.008653750610469918,0.9980416666666667,4182124032,150166528
7310,0.00739523024012063,0.9985052083333333,3191817472,4091627776
7467,0.007100043247502375,0.9985989583333333,133690880,1539406080
7790,0.008755045543221058,0.9982916666666667,2981887488,48259840
7884,0.018854515155379583,0.9948567708333333,3089011456,980387584
8048,0.02863927301465689,0.9929140625,1583456000,979545856
8299,0.012060740037161547,0.9970052083333333,426758656,1078854656
8721,0.0075493393098392215,0.9983307291666667,3478093056,2496741376
8745,0.006350539916471462,0.9987317708333333,21610240,2320919808
8840,0.013073040774092078,0.9968307291666667,3116460544,3077930496
8893,0.033827261379531896,0.9919635416666667,2154788864,225003008
9132,0.007389329847889409,0.9984869791666666,1097194496,1269016064
9134,0.007935403758330115,0.9983098958333333,4280051712,979018752
9504,0.007777485210962672,0.9983645833333333,2151853568,1934131968
9816,0.01044708138956048,0.9974348958333333,43133184,3382309376
10248,0.013759424183624408,0.9968619791666666,4215369984,1080617216
11124,0.007279972292419795,0.9985572916666666,835792640,4276643072
11130,0.006454900634601169,0.9988203125,3871361280,2240793344
11498,0.008620918175486925,0.9980416666666667,3781424640,708523264
11598,0.015957807744697978,0.9965130208333334,214070272,1902424320
11611,0.008847494880338976,0.9984505208333333,3219803392,2466045184
12141,0.021438795740463926,0.9942994791666667,3680300032,632388608
12287,0.007686653623037273,0.9983723958333334,239432960,4258140928
12457,0.01771442418374742,0.9952604166666666,2694234368,480857600
12493,0.010309165609321401,0.9976328125,641352448,2405309952
12552,0.006769717275582177,0.9984505208333333,2893483520,623112960
12561,0.006777507318120721,0.9986354166666667,1188185856,3862417920
13036,0.00965446273854468,0.9979166666666667,2753028864,2200475392
13293,0.0071347197245680335,0.9987135416666667,4199627520,756659456
13468,0.05689021272367487,0.9892916666666667,2849090304,3284152576
13654,0.008165384618968043,0.9983177083333333,714561024,2091857152
13716,0.009437395331352794,0.9980078125,1437559040,3722843648
14095,0.010044092808054605,0.9976302083333334,2966935808,22505984
14929,0.00857196312728532,0.998125,2104810752,997291520
15043,0.01766839207584659,0.9954635416666666,3818607104,947755008
15399,0.008946699286490912,0.9983515625,1385697792,872399360
15622,0.012312727857206482,0.9970364583333333,190569216,2822726144
15662,0.007055791113768161,0.9985130208333334,733622016,1144421120
16069,0.008657699215157966,0.9980989583333333,1259742208,1124547840
16149,0.009733620536901678,0.9980494791666666,1612228096,3255385344
16197,0.007721478600413926,0.9982109375,982103296,4113234176
16284,0.08326970701988709,0.9861197916666666,2290918912,3753849600
17080,0.008306099306457327,0.9980104166666667,3101050880,2347403264
17096,0.01384532223463369,0.9969973958333334,2523230976,1027367680
17194,0.007067083966830978,0.9986171875,858113024,2231615232
17197,0.0087911593906659,0.9982317708333334,621635328,1831352064
18146,0.011485761326165326,0.9970572916666667,356824576,3263539712
18289,0.008113021590402544,0.9979505208333334,1870666240,3883802368
18668,0.012514749318938508,0.9973385416666667,3964495616,1756316928
19004,0.007594825313843709,0.9983984375,4249189120,3577906176
19093,0.019909992869603835,0.9955625,1803973888,2750659072
19451,0.006618174503014112,0.9987838541666667,713913600,847080192
19488,0.007825461458540909,0.9982083333333334,2146102016,3257967104
19538,0.012918666947700937,0.9968515625,1054505728,3574040832
19917,0.053755752777234496,0.988921875,3550789632,2806581248
20013,0.12268218992836774,0.9690026041666666,1205681408,2160832512
20294,0.01274332805974215,0.996625,87460096,1720362240
20338,0.007245496406433328,0.9985572916666666,2343337984,3952990720
20415,0.011973676596089111,0.9973645833333333,76212736,4225253120
20539,0.011264922739142397,0.9973307291666667,2270922240,882614272
20751,0.007802263152882612,0.9983489583333334,3301316864,1214287872
20754,0.009742596917271536,0.9980390625,1952060928,293427456
20976,0.03592582031686713,0.9922942708333333,2037803520,22264576
21317,0.02515331587723146,0.9942734375,1264390912,289757184
21598,0.0592220723896559,0.9872942708333333,3311665664,3767810816
22261,0.007017387901364904,0.998515625,1924749312,1671875584
22286,0.038634297897922804,0.991765625,4077845504,4162957824
22401,0.009455160810456921,0.998140625,3649412608,3216548096
22545,0.012571544482042857,0.9976796875,2305222400,2107212288
23241,0.021817835078603822,0.9953046875,2503544064,1070085632
23367,0.011717435697918215,0.9973567708333333,1571155968,2423984896
23447,0.007665093122360607,0.9981927083333333,3658834432,890779904
23633,0.0074107309414733515,0.9985182291666667,1582415616,3378365696
23696,0.006528742437512847,0.99859375,698865920,2182333696
24144,0.009616574849836372,0.9977421875,2926545152,4105730304
24173,0.007871907554683276,0.9985963541666667,276578816,4034788864
24202,0.00907612219058986,0.9981614583333334,3300282368,1944616192
24262,0.012719640164791296,0.9969114583333333,3196541952,3129005056
24438,0.020078541968599893,0.9952447916666667,72204800,1119360512
24566,0.007984686642759092,0.9982708333333333,4020452608,2878293248
25516,0.007365890551659201,0.9987473958333334,3395059200,356147712
26278,0.02156303451002653,0.994453125,3936246784,1888822016
26374,0.008178807857296003,0.9980390625,1147500544,466641664
26829,0.0077181328505394045,0.9982942708333333,3185471488,1389899776
26932,0.017023957532578304,0.9961067708333333,2548089600,1350826752
27300,0.045146433462466426,0.9904791666666667,1311280128,3329396224
27484,0.007969126062525901,0.998359375,4228680960,2759108096
27584,0.008249348600162193,0.9981744791666667,3886186240,276059904
27671,0.013357944974578762,0.9969114583333333,133165312,3670957824
27714,0.007576340195742281,0.9983802083333333,2027128576,3879067904
28090,0.01016870582815803,0.9979348958333333,2790567680,274163712
28716,0.008143020502961009,0.9982239583333333,2684870400,14702336
28778,0.009743198848702984,0.9975677083333333,2580704256,3947663872
29022,0.008251370830092735,0.9982369791666666,3292718336,3509147648
29052,0.00987796340797407,0.9977239583333334,2691652352,2847339776
