seed,accuracy-bound,normalized-accuracy-bound,duration-proof-search,duration,tricks,err-upper-bound,err-upper-bound-is-max,total-sequences,dropped-sequences,dropped-sequences-frac,most-gap-below-value,most-gap-below-value-frac,most-gap-below-value-num-std,max-gap,perf-time-enabled-ns,perf-instruction-count,perf-branch-misses,perf-page-faults,proof-flop-estimate,proof-int-op-estimate,proof-branch-estimate
50,0.3952379550647111,0.39634334589673004,657.8415920734406,17.708754777908325,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffSubproductRecursive,90.79090881347656,True,1180591620717411303424,384730765398212302413,0.3258796341146505,50,0.9986942410469056,1.5,79,,,,,20905492,0,0
50,0.5967991976621417,0.5984683095305704,655.2956600189209,17.694478034973145,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiff,7.892693519592285,True,1180591620717411303424,180930042395217532927,0.1532537070568666,11,0.9982236623764038,1.5,49,,,,,22976661,0,0
50,0.600769600670074,0.6024498168543412,655.1303050518036,17.702457666397095,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiffSubproduct,4.723296165466309,True,1180591620717411303424,179711101678669165182,0.1522212241092004,11,0.9982348680496216,1.5,49,,,,,22022225,0,0
50,0.3963043923087597,0.3974127657236439,656.3133535385132,17.717357635498047,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanMaxDiffSubproductRecursive,90.56056213378906,True,1180591620717411303424,384477151103701776932,0.3256648144513054,50,0.9986572861671448,1.5,79,,,,,20926035,0,0
50,0.3914399071561579,0.39253467571042266,655.3960576057434,17.69082999229431,EUPUMaxDiffAttnMeanQueryDiffAttnErrMeanRecursiveMaxDiffSubproductRecursive,92.41493225097656,True,1180591620717411303424,388018045337440409156,0.3286640685300249,50,0.9987227916717528,1.5,79,,,,,20948785,0,0
50,0.5235308047395488,0.5249950015466187,654.6966178417206,17.69189167022705,EUPUMaxDiffAttnMeanQueryDiffAttnErrSvd,16.71936798095703,False,1180591620717411303424,261029073106882407278,0.2211002251127808,21,0.9992237091064452,1.5,57,,,,,24950839,0,0
50,0.6303953397503071,0.6321584124010432,673.7683720588684,17.64889097213745,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrExactEqkeMaxDiffExact,0.0,False,1180591620717411303424,155551675890550310647,0.1317573944799185,11,0.9986736178398132,1.5,74,,,,,22552213,0,0
50,0.5846662053807855,0.5863013840242773,663.9132063388824,17.59724760055542,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiff,7.819921016693115,True,1180591620717411303424,178351090206329101792,0.1510692495834845,13,0.9985605478286744,1.5,74,,,,,23582134,0,0
50,0.636098375273187,0.6378773980195576,673.0180327892303,17.65338945388794,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffExact,2.054997682571411,True,1180591620717411303424,161237087569846062682,0.1365731254909864,12,0.998635709285736,1.5,74,,,,,24626646,0,0
50,0.5998383192604918,0.6015159308620791,665.1690514087677,17.609735012054443,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproduct,4.690543174743652,True,1180591620717411303424,173163202248586447846,0.1466749375566126,12,0.9985578656196594,1.5,74,,,,,22594420,0,0
50,0.3776052529799099,0.37866132914723505,664.4189803600311,17.621482610702515,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproductRecursive,90.79090881347656,True,1180591620717411303424,429197398838707039223,0.3635443376922294,50,0.997963547706604,1.5,81,,,,,21527604,0,0
50,0.5849696603863186,0.5866056877245696,664.9295308589935,17.59584617614746,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiff,7.892693519592285,True,1180591620717411303424,178406713222058179921,0.1511163641104327,13,0.9985605478286744,1.5,74,,,,,23598773,0,0
50,0.5998180173896956,0.6014955722115592,662.9637701511383,17.67520236968994,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproduct,4.723296165466309,True,1180591620717411303424,173304898726413510142,0.146794959141842,12,0.9985578656196594,1.5,74,,,,,22644337,0,0
50,0.3752625377269987,0.37631206185161287,666.9734330177307,17.66001868247986,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproductRecursive,90.56056213378906,True,1180591620717411303424,429277748702740607698,0.3636123966743733,50,0.9979637265205384,1.5,81,,,,,21548147,0,0
50,0.3794820292611629,0.3805433543456745,669.5725963115692,17.60526466369629,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanRecursiveMaxDiffSubproductRecursive,92.41493225097656,True,1180591620717411303424,433024181571490972602,0.3667857487488813,51,0.998232901096344,1.5,81,,,,,21570897,0,0
50,0.5161829246248247,0.5176265710793551,666.6556403636932,17.595475435256958,EUPUMaxDiffExactAttnDropAverageQueryPerOutputLogitReasoningAttnErrSvd,16.71936798095703,False,1180591620717411303424,266365053205650361381,0.2256199760623305,23,0.9968671798706056,1.5,76,,,,,25572951,0,0
50,0.756387404991704,0.7585028488457628,666.4092628955841,17.688929796218872,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrExactEqkeMaxDiffExact,0.0,False,1180591620717411303424,148097259593534703575,0.1254432582737969,12,0.9981987476348876,1.5,70,,,,,22991125,0,0
50,0.7391365639088575,0.7412037610767536,666.8785665035248,17.663156032562256,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrMaxDiff,7.819921016693115,True,1180591620717411303424,169246253184565378929,0.1433571526466699,13,0.9982954263687134,1.5,70,,,,,24021046,0,0
50,0.7502686758114645,0.7523670069691014,666.9242799282074,17.69683599472046,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrMaxDiffExact,2.054997682571411,True,1180591620717411303424,152084419712187631996,0.1288205142602743,12,0.998218297958374,1.5,70,,,,,25065558,0,0
50,0.7433677469986728,0.7454467778250932,667.1160101890564,17.751131534576416,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrMaxDiffSubproduct,4.690543174743652,True,1180591620717411303424,164399684186573344512,0.1392519490242294,13,0.9982337951660156,1.5,70,,,,,23033332,0,0
50,0.4657961057532283,0.4670988317143659,666.9541554450989,17.74205708503723,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrMaxDiffSubproductRecursive,90.79090881347656,True,1180591620717411303424,428063861232895206185,0.362584193993155,51,0.9973444938659668,1.5,81,,,,,21966516,0,0
50,0.7402460826553363,0.7423163828952795,666.0651786327362,17.771811485290527,EUPUMaxDiffExactAttnMeanQueryDiffAttnErrMeanMaxDiff,7.892693519592285,True,1180591620717411303424,169321110062615713373,0.1434205588887071,13,0.9982954263687134,1.5,70,,,,,24037685,0,0
