x  y
22521110 0.34
22521110 0.35
22521110 0.36
22521110 0.37
22521110 0.38
22521110 0.39
22521110 0.40
22521110 0.41
22521110 0.44
22533653 4.87e-20
22533653 4.92e-20
22533653 4.93e-20
22533653 5.00e-20
22533653 5.09e-20
22533653 5.17e-20
22533653 5.18e-20
22533653 5.19e-20
22533653 5.20e-20
22533653 5.25e-20
22533653 5.26e-20
22533653 5.30e-20
22533653 5.34e-20
22533653 5.35e-20
22533653 5.37e-20
22533653 5.42e-20
22533653 5.43e-20
22533653 5.44e-20
22533653 5.45e-20
22533653 5.47e-20
22533653 5.48e-20
22533653 5.51e-20
22533653 5.52e-20
22533653 5.53e-20
22533653 5.59e-20
22533653 5.60e-20
22533653 5.68e-20
22537749 0.00
22537749 0.01
22537749 0.05
22537749 0.08
22537749 0.09
22537749 0.10
22537749 0.12
22537749 0.13
22537749 0.14
22537749 0.15
22537749 0.16
22537749 0.17
22537749 0.18
22537749 0.19
22537749 0.20
22537749 0.21
22537749 0.22
22537749 0.23
22537749 0.24
22537749 0.25
22537749 0.26
22537749 0.27
22537749 0.28
22537749 0.29
22537749 0.30
22537749 0.31
22537749 0.32
22537749 0.33
22537749 0.34
22537749 0.35
22537749 0.36
22537749 0.37
22537749 0.38
22537749 0.39
22537749 0.40
22537749 0.41
22537749 0.44
22955926 4.87e-20
22955926 4.92e-20
22955926 4.93e-20
22955926 5.00e-20
22955926 5.09e-20
22955926 5.17e-20
22955926 5.18e-20
22955926 5.19e-20
22955926 5.20e-20
22955926 5.25e-20
22955926 5.26e-20
22955926 5.30e-20
22955926 5.34e-20
22955926 5.35e-20
22955926 5.37e-20
22955926 5.42e-20
22955926 5.43e-20
22955926 5.44e-20
22955926 5.45e-20
22955926 5.47e-20
22955926 5.48e-20
22955926 5.51e-20
22955926 5.52e-20
22955926 5.53e-20
22955926 5.59e-20
22955926 5.60e-20
22955926 5.68e-20
22960022 0.45
22960022 0.46
22960022 0.47
22960022 0.48
22960022 0.50
22960022 0.51
22960022 0.52
22960022 0.53
22960022 0.54
22960022 0.55
22960022 0.56
22960022 0.57
22960022 0.58
22960022 0.59
22960022 0.60
22960022 0.61
22960022 0.62
22960022 0.63
22960022 0.64
22960022 0.65
22960022 0.67
22972565 4.87e-20
22972565 4.92e-20
22972565 4.93e-20
22972565 5.00e-20
22972565 5.09e-20
22972565 5.17e-20
22972565 5.18e-20
22972565 5.19e-20
22972565 5.20e-20
22972565 5.25e-20
22972565 5.26e-20
22972565 5.30e-20
22972565 5.34e-20
22972565 5.35e-20
22972565 5.37e-20
22972565 5.42e-20
22972565 5.43e-20
22972565 5.44e-20
22972565 5.45e-20
22972565 5.47e-20
22972565 5.48e-20
22972565 5.51e-20
22972565 5.52e-20
22972565 5.53e-20
22972565 5.59e-20
22972565 5.60e-20
22972565 5.68e-20
22976661 0.45
22976661 0.46
22976661 0.47
22976661 0.48
22976661 0.49
22976661 0.50
22976661 0.51
22976661 0.52
22976661 0.53
22976661 0.54
22976661 0.55
22976661 0.56
22976661 0.57
22976661 0.58
22976661 0.59
22976661 0.60
22976661 0.61
22976661 0.62
22976661 0.63
22976661 0.64
22976661 0.65
22976661 0.67
24507831 4.87e-20
24507831 4.92e-20
24507831 4.93e-20
24507831 5.00e-20
24507831 5.09e-20
24507831 5.17e-20
24507831 5.18e-20
24507831 5.19e-20
24507831 5.20e-20
24507831 5.25e-20
24507831 5.26e-20
24507831 5.30e-20
24507831 5.34e-20
24507831 5.35e-20
24507831 5.37e-20
24507831 5.42e-20
24507831 5.43e-20
24507831 5.44e-20
24507831 5.45e-20
24507831 5.47e-20
24507831 5.48e-20
24507831 5.51e-20
24507831 5.52e-20
24507831 5.53e-20
24507831 5.59e-20
24507831 5.60e-20
24507831 5.68e-20
24511927 0.02
24511927 0.05
24511927 0.06
24511927 0.07
24511927 0.09
24511927 0.10
24511927 0.11
24511927 0.12
24511927 0.13
24511927 0.14
24511927 0.15
24511927 0.16
24511927 0.17
24511927 0.18
24511927 0.19
24511927 0.20
24511927 0.21
24511927 0.22
24511927 0.23
24511927 0.24
24511927 0.25
24511927 0.26
24511927 0.27
24511927 0.28
24511927 0.29
24511927 0.30
24511927 0.31
24511927 0.32
24511927 0.33
24511927 0.34
24511927 0.35
24511927 0.36
24511927 0.37
24511927 0.38
24946743 4.87e-20
24946743 4.92e-20
24946743 4.93e-20
24946743 5.00e-20
24946743 5.09e-20
24946743 5.17e-20
24946743 5.18e-20
24946743 5.19e-20
24946743 5.20e-20
24946743 5.25e-20
24946743 5.26e-20
24946743 5.30e-20
24946743 5.34e-20
24946743 5.35e-20
24946743 5.37e-20
24946743 5.42e-20
24946743 5.43e-20
24946743 5.44e-20
24946743 5.45e-20
24946743 5.47e-20
24946743 5.48e-20
24946743 5.51e-20
24946743 5.52e-20
24946743 5.53e-20
24946743 5.59e-20
24946743 5.60e-20
24946743 5.68e-20
24950839 0.39
24950839 0.40
24950839 0.41
24950839 0.42
24950839 0.43
24950839 0.44
24950839 0.45
24950839 0.46
24950839 0.47
24950839 0.48
24950839 0.49
24950839 0.50
24950839 0.51
24950839 0.52
24950839 0.53
24950839 0.54
24950839 0.55
24950839 0.56
24950839 0.57
24950839 0.58
