seed,loss,accuracy,model-seed,dataset-seed
24202,0.0018121860818985,0.9996119791666668,3300282368,1944616192
24262,0.0016837547870818,0.999609375,3196541952,3129005056
24438,0.0032334638959,0.999234375,72204800,1119360512
24566,0.0069750937621962,0.9979973958333334,4020452608,2878293248
25516,0.0012337589346134,0.999859375,3395059200,356147712
26278,0.002033523085983,0.9996171875,3936246784,1888822016
26374,0.047258333284369,0.9933932291666666,1147500544,466641664
26829,0.001341988437353,0.9998619791666666,3185471488,1389899776
26932,0.0013618766119325,0.9997994791666668,2548089600,1350826752
27300,0.001313188241523,0.9997786458333332,1311280128,3329396224
27484,0.0035741657661371,0.9994114583333332,4228680960,2759108096
27584,0.0040833085756942,0.9990260416666666,3886186240,276059904
27671,0.0014554864849439,0.9997447916666666,133165312,3670957824
27714,0.001521146757111,0.99978125,2027128576,3879067904
28090,0.00182310527907,0.9994895833333334,2790567680,274163712
28716,0.0015055842487927,0.9997317708333332,2684870400,14702336
28778,0.0014421607531694,0.9998098958333334,2580704256,3947663872
29022,0.0026265885575072,0.9995260416666668,3292718336,3509147648
29052,0.0020083380483944,0.9998828125,2691652352,2847339776
29110,0.0014860930652939,0.9998203125,3881332224,222137344
29195,0.0013629201751415,0.9997552083333332,1496344320,1242578176
29565,0.0021359744396468,0.9996171875,421385472,1649264128
29725,0.0012278651514061,0.9998776041666668,2501192448,3359015936
29726,0.0027661861230347,0.9995546875,695007488,3351269120
30371,0.0015165375692595,0.9998072916666668,1827975168,358791936
30463,0.0021676860601194,0.9996692708333332,958166528,3529113088
30684,0.0022228698130347,0.9996197916666668,1678805760,1342738176
30899,0.0034818468590577,0.9990208333333334,89836032,58500608
31308,0.0015989422422426,0.9998619791666666,1808059392,326289920
32103,0.001748524540783,0.999625,3989714432,2355916800
32374,0.001987962859314,0.9995677083333332,396625152,1068697088
32382,0.0014035754911116,0.9998098958333334,1777363200,1906699776
123,0.009097257728581705,0.9973307291666667,613947648,1914904320
